planet_name,period,duration,depth,planet_radius,stellar_temp,stellar_radius,is_planet
Kepler-236 c,23.96793669,3.827,1182.3,1.8,3747.0,0.524,1
Kepler-236 b,8.29561738,1.3421,824.3,1.82,3747.0,0.524,1
Kepler-691 b,8.11437482,2.2736,1558.0,2.1,3692.0,0.517,1
Kepler-107 e,14.74914825,6.0995,430.2,2.89,5847.0,1.402,1
Kepler-692 b,21.81295996,4.3791,1175.4,3.38,5601.0,0.999,1
Kepler-693 b,15.37562369,3.3169,15337.0,11.01,4986.0,0.833,1
Kepler-237 c,8.10363271,3.161,887.9,2.11,4861.0,0.732,1
Kepler-237 b,4.71510843,2.506,417.5,1.46,4861.0,0.732,1
Kepler-694 b,6.365839713,2.9721,780.7,2.44,5776.0,0.849,1
Kepler-695 b,3.04033046,1.8411,10859.0,8.99,5035.0,0.791,1
Kepler-27 b,15.33528675,3.897,3081.4,5.0,5251.0,0.817,1
Kepler-107 d,7.95825328,4.377,50.0,1.06,5847.0,1.402,1
Kepler-27 c,31.33046135,5.176,5073.8,6.5,5251.0,0.817,1
Kepler-238 e,23.65369415,8.2183,3341.8,7.89,5739.0,1.384,1
Kepler-238 d,13.23352214,6.7372,504.6,3.06,5739.0,1.384,1
Kepler-238 c,6.15560285,4.9843,285.0,2.32,5739.0,1.384,1
Kepler-238 b,2.090811305,3.388,115.9,1.62,5739.0,1.384,1
Kepler-107 b,3.180027898,3.5797,120.3,1.53,5847.0,1.402,1
Kepler-238 f,50.4467417,7.159,370.3,2.67,5739.0,1.384,1
Kepler-239 b,11.76307164,2.9076,1037.3,2.35,4959.0,0.756,1
Kepler-239 c,56.2279271,3.57,862.7,2.37,4959.0,0.756,1
Kepler-240 c,7.953547,2.6312,875.4,2.25,4768.0,0.779,1
Kepler-240 b,4.14451656,2.3421,391.8,1.48,4768.0,0.779,1
Kepler-702 b,10.526294577,2.5211,9768.0,8.24,5386.0,0.793,1
Kepler-703 b,4.583520948,2.7055,3812.1,5.39,5815.0,0.877,1
Kepler-704 b,3.76181843,3.5176,510.6,2.66,5653.0,0.949,1
Kepler-242 b,8.20396958,2.9667,1024.4,3.01,5015.0,0.826,1
Kepler-242 c,14.49645186,4.016,647.5,3.01,5015.0,0.826,1
Kepler-27 d,6.54626149,2.75,655.9,2.19,5251.0,0.817,1
Kepler-241 b,12.71809866,3.0957,1149.4,2.31,4702.0,0.686,1
Kepler-241 c,36.06588163,4.3246,1563.8,2.64,4702.0,0.686,1
Kepler-696 b,4.190425659,2.8589,2877.4,6.21,6073.0,1.135,1
Kepler-697 b,3.709870784,3.0694,2020.3,4.35,5727.0,0.978,1
Kepler-698 b,16.3297527,6.271,1187.5,3.75,5878.0,0.987,1
Kepler-699 b,27.807566216,4.21587,25391.0,13.84,5862.0,0.785,1
Kepler-700 b,80.8723469,11.195,3604.6,7.59,5510.0,1.238,1
Kepler-467 b,24.99324319,5.9409,269.6,2.29,5718.0,1.317,1
Kepler-701 b,10.35533116,3.1775,750.6,2.47,5501.0,0.918,1
Kepler-709 b,16.08518937,3.984,1442.4,3.68,5239.0,0.826,1
Kepler-245 b,7.49018305,2.7297,1123.6,2.56,5103.0,0.787,1
Kepler-245 d,36.2761238,4.7865,1572.6,3.03,5103.0,0.787,1
Kepler-245 c,17.46087931,2.2641,812.4,2.32,5103.0,0.787,1
Kepler-705 b,56.0560754,4.685,1626.0,1.94,3593.0,0.491,1
Kepler-706 b,41.408316686,5.0264,22839.0,11.38,5522.0,0.747,1
Kepler-243 b,5.715425977,2.5242,908.1,2.47,5237.0,0.826,1
Kepler-108 b,49.18394185,11.3364,1646.2,8.2,5626.0,2.057,1
Kepler-243 c,20.0261412,1.611,421.2,2.28,5237.0,0.826,1
Kepler-707 b,2.237489571,1.8119,315.8,1.41,5265.0,0.81,1
Kepler-708 b,3.167893418,2.1814,781.2,2.62,5895.0,0.94,1
Kepler-244 b,4.311780262,2.7251,1154.0,3.11,5527.0,0.927,1
Kepler-244 d,20.0504494,4.556,840.9,2.69,5527.0,0.927,1
Kepler-244 c,9.76734503,1.6585,569.1,2.67,5527.0,0.927,1
Kepler-108 c,190.3200468,15.284,1141.7,7.78,5626.0,2.057,1
Kepler-82 b,26.44439337,3.9783,1843.5,3.91,5427.0,0.929,1
Kepler-82 c,51.53997972,6.3994,3644.3,5.51,5427.0,0.929,1
Kepler-82 e,5.902245782,2.9003,702.3,2.43,5427.0,0.929,1
Kepler-82 d,2.382951591,1.8876,391.6,1.86,5427.0,0.929,1
Kepler-712 b,21.02250608,4.1072,1772.5,3.07,5067.0,0.75,1
Kepler-245 e,3.219814777,2.0642,488.2,1.69,5103.0,0.787,1
Kepler-28 b,5.912273234,2.3254,961.4,1.73,4072.0,0.57,1
Kepler-28 c,8.98581901,2.8606,881.3,1.65,4072.0,0.57,1
Kepler-46 b,33.60123371,4.4056,7425.9,8.46,5149.0,0.93,1
Kepler-46 d,6.76652928,2.9004,450.7,1.97,5149.0,0.93,1
Kepler-710 b,4.347288783,2.1024,451.6,2.36,5754.0,1.122,1
Kepler-246 b,4.601811819,2.2607,755.9,2.35,4986.0,0.833,1
Kepler-246 c,11.18719905,3.252,353.6,1.55,4986.0,0.833,1
Kepler-1729 b,4.220965778,3.0854,2260.0,2.62,3837.0,0.517,1
Kepler-81 b,5.95489993,2.3892,1410.7,2.33,4261.0,0.633,1
Kepler-81 c,12.03987488,2.7363,1250.6,2.18,4261.0,0.633,1
Kepler-81 d,20.83762895,2.3734,439.0,1.42,4261.0,0.633,1
Kepler-711 b,23.58917143,5.073,1200.7,3.16,4919.0,0.721,1
Kepler-109 b,6.481633073,3.784,298.5,2.54,5945.0,1.302,1
Kepler-716 b,10.37168928,3.035,1254.9,3.2,5121.0,0.888,1
Kepler-716 c,3.96996298,1.1757,299.2,1.78,5121.0,0.888,1
Kepler-717 b,4.40841331,5.012,549.4,2.66,6007.0,0.961,1
Kepler-712 c,226.8904775,7.558,3136.4,4.53,5067.0,0.75,1
Kepler-247 c,9.439459486,2.8979,3036.1,4.16,5097.0,0.779,1
Kepler-95 b,11.523067458,3.8757,507.3,3.13,5644.0,1.411,1
Kepler-247 d,20.47748843,2.8364,1382.4,2.92,5097.0,0.779,1
Kepler-247 b,3.336123113,1.9616,516.3,1.74,5097.0,0.779,1
Kepler-54 b,8.01078456,2.312,1333.6,1.72,3713.0,0.47,1
Kepler-54 c,12.07134205,4.3224,759.2,1.29,3713.0,0.47,1
Kepler-54 d,20.99587872,2.6333,767.3,1.3,3713.0,0.47,1
Kepler-713 b,7.41113177,2.5242,620.5,2.45,5849.0,0.919,1
Kepler-75 b,8.884922995,2.07004,16053.0,10.51,5332.0,0.843,1
Kepler-714 b,8.09888906,4.20241,6911.1,8.95,6214.0,1.076,1
Kepler-715 b,10.00653012,5.344,936.1,3.52,6063.0,1.001,1
Kepler-448 b,17.855221681,7.41287,9065.2,13.16,6823.0,1.367,1
Kepler-719 b,5.007316661,4.2362,6932.3,6.96,5865.0,0.827,1
Kepler-55 d,2.211116989,1.6485,724.2,1.85,4500.0,0.646,1
Kepler-55 b,27.9541337,3.95,942.5,1.9,4500.0,0.646,1
Kepler-110 b,12.69104387,3.7727,252.1,2.57,5869.0,1.626,1
Kepler-248 c,16.23947096,4.0374,2590.7,4.14,5191.0,0.837,1
Kepler-248 b,6.308201629,2.9785,1328.5,2.96,5191.0,0.837,1
Kepler-718 b,2.052349884,2.0778,14281.0,13.12,5855.0,1.08,1
Kepler-83 b,9.7704486,2.4517,1897.8,2.23,3906.0,0.509,1
Kepler-83 d,5.169804269,2.153,1037.4,1.66,3906.0,0.509,1
Kepler-109 c,21.22261195,6.5093,366.0,2.48,5945.0,1.302,1
Kepler-83 c,20.09017037,4.154,1432.1,2.25,3906.0,0.509,1
Kepler-249 c,7.11373257,2.1764,807.6,1.16,3561.0,0.411,1
